rank,method,kpi,similarity,causality_raw,causality,score
1,similarity_only,cpu__paymentservice,1.0,1.2810077523135282e-16,0.0,1.0
2,similarity_only,cpu__currencyservice,0.6,5101.24372681491,1.0,0.6
3,similarity_only,cpu__adservice,0.45454545454545453,4.324214233867226,0.0008476784222515786,0.45454545454545453
4,similarity_only,cpu__recommendationservice,0.3333333333333333,3.309926970230344,0.0006488470552448943,0.3333333333333333
5,similarity_only,cpu__shippingservice,0.3333333333333333,0.4881334010163384,9.568909606307259e-05,0.3333333333333333
6,similarity_only,memory__adservice,0.23076923076923078,2.216327156171281,0.0004344679993471123,0.23076923076923078
7,similarity_only,memory__productcatalogservice,0.23076923076923078,1.520789911833269,0.0002981213980894836,0.23076923076923078
8,similarity_only,memory__paymentservice,0.23076923076923078,1.475497617583926,0.0002892427213049846,0.23076923076923078
9,similarity_only,cpu__frontend,0.23076923076923078,1.4708313170763962,0.0002883279834964378,0.23076923076923078
10,similarity_only,memory__cartservice,0.23076923076923078,1.3337293275396083,0.00026145179469249855,0.23076923076923078
11,similarity_only,cpu__cartservice,0.23076923076923078,0.9109974137050058,0.00017858339308829884,0.23076923076923078
12,similarity_only,memory__frontend,0.23076923076923078,0.8219204428404788,0.00016112157874755486,0.23076923076923078
13,similarity_only,memory__redis-cart,0.23076923076923078,0.35741334265891445,7.006396122187919e-05,0.23076923076923078
14,similarity_only,cpu__productcatalogservice,0.23076923076923078,0.3021521450363215,5.9231074070828155e-05,0.23076923076923078
15,similarity_only,memory__currencyservice,0.23076923076923078,0.1903594359301155,3.731627934761923e-05,0.23076923076923078
16,similarity_only,memory__recommendationservice,0.23076923076923078,0.032924749264163146,6.454259201749692e-06,0.23076923076923078
17,similarity_only,cpu__emailservice,0.14285714285714285,9.055402300058537,0.0017751361795278317,0.14285714285714285
18,similarity_only,cpu__redis-cart,0.14285714285714285,4.30049412436606,0.0008430285543426058,0.14285714285714285
19,similarity_only,cpu__checkoutservice,0.14285714285714285,3.291438497441361,0.0006452227483544397,0.14285714285714285
20,similarity_only,memory__emailservice,0.14285714285714285,0.4074867729005805,7.98798870868703e-05,0.14285714285714285
21,similarity_only,memory__shippingservice,0.06666666666666667,8.109128942249718,0.0015896376210420469,0.06666666666666667
22,similarity_only,memory__checkoutservice,0.0,0.15851534994461705,3.107386324463857e-05,0.0
