rank,kpi,similarity,causality_raw,causality,score
1,cpu__paymentservice,1.0,3.686410049688936e-14,0.0,0.9
2,memory__checkoutservice,0.7777777777777778,0.24641387005629103,0.0012657785895235747,0.7001265778589524
3,memory__emailservice,0.3333333333333333,1.2830962883388917,0.00659100808613459,0.30065910080861347
4,memory__cartservice,0.14285714285714285,15.634840605535372,0.08031303791699096,0.13660273236312764
5,cpu__shippingservice,0.14285714285714285,6.150578224697271,0.031594285777153557,0.13173085714914393
6,memory__paymentservice,0.14285714285714285,2.8254201306357603,0.014513616083993763,0.13002279017982793
7,cpu__frontend,0.14285714285714285,1.9050344410302016,0.009785779539157038,0.12955000652534426
8,cpu__productcatalogservice,0.0,194.67375423769946,1.0,0.09999999999999998
9,cpu__recommendationservice,0.06666666666666667,22.577904939696133,0.1159781657681916,0.07159781657681916
10,cpu__adservice,0.06666666666666667,1.8121409835330153,0.00930860449385657,0.06093086044938566
11,cpu__currencyservice,0.06666666666666667,0.890967725381889,0.004576722367484462,0.060457672236748444
12,cpu__redis-cart,0.06666666666666667,0.07841651158487717,0.00040280988000618013,0.06004028098800061
13,cpu__checkoutservice,0.0,21.479069152313947,0.11033366689013283,0.01103336668901328
14,memory__shippingservice,0.0,13.206468715815596,0.06783897894982943,0.006783897894982942
15,memory__frontend,0.0,9.738310756833606,0.05002374765394904,0.005002374765394903
16,memory__currencyservice,0.0,5.781543986672246,0.02969863097011455,0.0029698630970114545
17,memory__redis-cart,0.0,2.9112415942493244,0.014954463716226584,0.001495446371622658
18,memory__productcatalogservice,0.0,2.6311251420227566,0.013515561726980816,0.0013515561726980814
19,memory__recommendationservice,0.0,1.6002825567220242,0.008220330280208289,0.0008220330280208287
20,memory__adservice,0.0,1.2869259307229544,0.0066106801903638365,0.0006610680190363835
21,cpu__cartservice,0.0,0.39746434387026824,0.002041694554186908,0.00020416945541869074
22,cpu__emailservice,0.0,0.03609426111590402,0.00018540897440029612,1.8540897440029607e-05
