rank,kpi,similarity,causality_raw,causality,score
1,cpu__paymentservice,1.0,2.70568520574141e-14,0.0,0.9
2,memory__adservice,0.23076923076923078,0.8404022896206866,0.005750364287268232,0.20826734412103454
3,cpu__cartservice,0.14285714285714285,0.4276958296670209,0.002926463736600199,0.12886407494508859
4,memory__frontend,0.0,146.14766085017916,1.0,0.09999999999999998
5,cpu__shippingservice,0.06666666666666667,40.68701146252769,0.2783965971527747,0.08783965971527746
6,cpu__currencyservice,0.06666666666666667,6.891671839276174,0.047155539809433086,0.06471555398094331
7,cpu__productcatalogservice,0.06666666666666667,2.126872250383339,0.014552899704386236,0.06145528997043862
8,cpu__recommendationservice,0.06666666666666667,0.7683074577838965,0.005257062982153968,0.060525706298215395
9,cpu__checkoutservice,0.06666666666666667,0.6411818395804452,0.00438721930854381,0.06043872193085438
10,cpu__emailservice,0.06666666666666667,0.30530889366168007,0.00208904399759525,0.060208904399759525
11,cpu__frontend,0.06666666666666667,0.22728591925858066,0.0015551800003939305,0.06015551800003939
12,memory__paymentservice,0.06666666666666667,0.016354181251145825,0.00011190176535144128,0.06001119017653514
13,memory__productcatalogservice,0.0,52.688827678229956,0.3605177624583606,0.036051776245836054
14,memory__emailservice,0.0,45.362237123054,0.3103863370728617,0.03103863370728616
15,memory__recommendationservice,0.0,15.705431698711086,0.10746276476372224,0.010746276476372222
16,memory__checkoutservice,0.0,3.197961452211287,0.021881714928640543,0.002188171492864054
17,cpu__adservice,0.0,1.9545247408939042,0.013373629995334143,0.001337362999533414
18,memory__cartservice,0.0,1.5433401558490942,0.010560142713684599,0.0010560142713684597
19,memory__currencyservice,0.0,0.9588173983302198,0.006560607215692002,0.0006560607215692001
20,memory__redis-cart,0.0,0.8448266584622195,0.005780637565785281,0.000578063756578528
21,memory__shippingservice,0.0,0.6896251768791695,0.004718687749550096,0.00047186877495500947
22,cpu__redis-cart,0.0,0.28158837077166127,0.0019267388142482822,0.00019267388142482818
